Date,Open,High,Low,Close,Effective Date,Bank Rate,Repo,Reverse Repo,Standing Deposit Facility (SDF) Rate,Marginal Standing Facility (MSF) Rate,Cash Reserve Ratio (CRR),Statutory Liquidity Ratio (SLR)
2000-05-16,Not Available,Not Available,Not Available,989.61,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-05-17,Not Available,Not Available,Not Available,999.4,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-05-18,Not Available,Not Available,Not Available,984.62,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-05-19,Not Available,Not Available,Not Available,988.26,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-05-22,Not Available,Not Available,Not Available,966.01,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-05-23,Not Available,Not Available,Not Available,948.48,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-05-24,Not Available,Not Available,Not Available,950.96,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-05-25,Not Available,Not Available,Not Available,950.97,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-05-26,Not Available,Not Available,Not Available,953.86,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-05-29,Not Available,Not Available,Not Available,966.83,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-05-30,Not Available,Not Available,Not Available,986.64,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-05-31,Not Available,Not Available,Not Available,1001.24,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-06-01,Not Available,Not Available,Not Available,985.93,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-06-02,Not Available,Not Available,Not Available,1007.95,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-06-05,Not Available,Not Available,Not Available,1034.98,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-06-06,Not Available,Not Available,Not Available,1034.29,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-06-07,Not Available,Not Available,Not Available,1029.53,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-06-08,Not Available,Not Available,Not Available,1064.58,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-06-09,Not Available,Not Available,Not Available,1070.22,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-06-12,Not Available,Not Available,Not Available,1052.44,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-06-13,Not Available,Not Available,Not Available,1059.56,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-06-14,Not Available,Not Available,Not Available,1066.28,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-06-15,Not Available,Not Available,Not Available,1071.61,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-06-16,Not Available,Not Available,Not Available,1098.0,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-06-19,Not Available,Not Available,Not Available,1087.05,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-06-20,Not Available,Not Available,Not Available,1110.22,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-06-21,Not Available,Not Available,Not Available,1090.32,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-06-22,Not Available,Not Available,Not Available,1106.12,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-06-23,Not Available,Not Available,Not Available,1120.48,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-06-26,Not Available,Not Available,Not Available,1084.38,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-06-27,Not Available,Not Available,Not Available,1083.34,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-06-28,Not Available,Not Available,Not Available,1085.73,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-06-29,Not Available,Not Available,Not Available,1093.55,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-06-30,Not Available,Not Available,Not Available,1087.18,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-07-03,Not Available,Not Available,Not Available,1119.29,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-07-04,Not Available,Not Available,Not Available,1135.06,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-07-05,Not Available,Not Available,Not Available,1133.61,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-07-06,Not Available,Not Available,Not Available,1123.2,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-07-07,Not Available,Not Available,Not Available,1130.06,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-07-10,Not Available,Not Available,Not Available,1110.67,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-07-11,Not Available,Not Available,Not Available,1116.83,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-07-12,Not Available,Not Available,Not Available,1108.72,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-07-13,Not Available,Not Available,Not Available,1101.88,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-07-14,Not Available,Not Available,Not Available,1095.11,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-07-17,Not Available,Not Available,Not Available,1081.53,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-07-18,Not Available,Not Available,Not Available,1090.71,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-07-19,Not Available,Not Available,Not Available,1074.88,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-07-20,Not Available,Not Available,Not Available,1053.89,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-07-21,Not Available,Not Available,Not Available,1046.92,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-07-24,Not Available,Not Available,Not Available,983.99,2000-07-22,8.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-07-25,Not Available,Not Available,Not Available,1010.99,2000-07-22,8.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-07-26,Not Available,Not Available,Not Available,994.13,2000-07-22,8.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-07-27,Not Available,Not Available,Not Available,999.76,2000-07-22,8.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-07-28,Not Available,Not Available,Not Available,1002.71,2000-07-22,8.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-07-31,Not Available,Not Available,Not Available,993.58,2000-07-29,8.00,Not Available,Not Available,Not Available,Not Available,8.25,25.00
2000-08-01,Not Available,Not Available,Not Available,979.73,2000-07-29,8.00,Not Available,Not Available,Not Available,Not Available,8.25,25.00
2000-08-02,Not Available,Not Available,Not Available,986.53,2000-07-29,8.00,Not Available,Not Available,Not Available,Not Available,8.25,25.00
2000-08-03,Not Available,Not Available,Not Available,1006.1,2000-07-29,8.00,Not Available,Not Available,Not Available,Not Available,8.25,25.00
2000-08-04,Not Available,Not Available,Not Available,1009.51,2000-07-29,8.00,Not Available,Not Available,Not Available,Not Available,8.25,25.00
2000-08-07,Not Available,Not Available,Not Available,986.89,2000-07-29,8.00,Not Available,Not Available,Not Available,Not Available,8.25,25.00
2000-08-08,Not Available,Not Available,Not Available,1017.43,2000-07-29,8.00,Not Available,Not Available,Not Available,Not Available,8.25,25.00
2000-08-09,Not Available,Not Available,Not Available,1009.9,2000-07-29,8.00,Not Available,Not Available,Not Available,Not Available,8.25,25.00
2000-08-10,Not Available,Not Available,Not Available,1001.34,2000-07-29,8.00,Not Available,Not Available,Not Available,Not Available,8.25,25.00
2000-08-11,Not Available,Not Available,Not Available,994.6,2000-07-29,8.00,Not Available,Not Available,Not Available,Not Available,8.25,25.00
2000-08-14,Not Available,Not Available,Not Available,991.83,2000-08-12,8.00,Not Available,Not Available,Not Available,Not Available,8.5,25.00
2000-08-16,Not Available,Not Available,Not Available,1008.41,2000-08-12,8.00,Not Available,Not Available,Not Available,Not Available,8.5,25.00
2000-08-17,Not Available,Not Available,Not Available,999.36,2000-08-12,8.00,Not Available,Not Available,Not Available,Not Available,8.5,25.00
2000-08-18,Not Available,Not Available,Not Available,987.1,2000-08-12,8.00,Not Available,Not Available,Not Available,Not Available,8.5,25.00
2000-08-21,Not Available,Not Available,Not Available,981.29,2000-08-12,8.00,Not Available,Not Available,Not Available,Not Available,8.5,25.00
2000-08-22,Not Available,Not Available,Not Available,975.52,2000-08-12,8.00,Not Available,Not Available,Not Available,Not Available,8.5,25.00
2000-08-23,Not Available,Not Available,Not Available,985.4,2000-08-12,8.00,Not Available,Not Available,Not Available,Not Available,8.5,25.00
2000-08-24,Not Available,Not Available,Not Available,981.2,2000-08-12,8.00,Not Available,Not Available,Not Available,Not Available,8.5,25.00
